Faction,Server,Tag,Player Name,THP
Enemy,968,FKX,Yurgensen,148377699
Enemy,968,IMRG,Armored Sleep,143419930
Enemy,968,BdBr,Yasmin 16,141762755
Enemy,968,BdBr,Happy Goddess,140949159
Enemy,968,FKX,Aylin64,140423982
Enemy,968,BdBr,2AK,139743875
Enemy,968,BdBr,XxKVDxX,139632607
Enemy,968,TGnG,Bo90do,137831017
Enemy,968,TGnG,AdanalıUğur,136472813
Enemy,968,FKX,Ale umiltà Palla,135571725
Enemy,968,TGnG,J ReX,133558452
Enemy,968,BdBr,Torpedro,133448440
Enemy,968,TGnG,fattalite,133393317
Enemy,968,TGnG,GamzeBeauty,132902412
Enemy,968,BdBr,ROCKET MAN,132440322
Enemy,968,BdBr,ALQURASHI300,131863480
Enemy,968,BdBr,Last 13 Days,131780879
Enemy,968,FKX,Soledango,131588181
Enemy,968,IMRG,Svenn0,130653669
Enemy,968,TGnG,Huffski,130390257
Enemy,968,FKX,beb71,130146748
Enemy,968,BdBr,NiKØs,129631208
Enemy,968,TGnG,Kazikazi,129235274
Enemy,968,FKX,ZimaBlu,129046915
Enemy,968,TGnG,xCerealKillerx,128993115
Enemy,968,FKX,Bozzze,128117684
Enemy,968,BdBr,Aysegul14,127231178
Enemy,968,BdBr,Finn Kadamov,127051743
Enemy,968,TGnG,Orcades,127038992
Enemy,968,BdBr,iTzTriXx,126655279
Enemy,968,IMRG,Maudzilla,125555130
Enemy,968,TGnG,Cptn42,125516881
Enemy,968,FKX,asmael salm,125504752
Enemy,968,BdBr,TIZONA,124707605
Enemy,968,FKX,A R V Y D S,124002882
Enemy,968,TGnG,Bucky Pew Pew Barnes,123717315
Enemy,968,IMRG,JuRo7,123455950
Enemy,968,BdBr,zaMną,122610325
Enemy,968,FKX,I74 Scorpion TrJr,122396467
Enemy,968,IMRG,Bryans9,122319852
Enemy,968,GVo,RaV4GG,122274132
Enemy,968,BdBr,Kaspu77,122045718
Enemy,968,FKX,Vince24000,121632547
Enemy,968,BdBr,RickyHunter,121430518
Enemy,968,FKX,I74 black mamba,121420683
Enemy,968,BdBr,Burning Ben,120452431
Enemy,968,IMRG,Guillome2k,120400368
Enemy,968,IMRG,Ayrin Ochoa,119941476
Enemy,968,FKX,TabZz,119814733
Enemy,968,WOTH,Alucard,119736203
Enemy,968,Kgl,Dand37ion,119527953
Enemy,968,FKX,Huguy32,119079814
Enemy,968,BdBr,Finnish Flash,118921495
Enemy,968,IMRG,Armored Grub,118788997
Enemy,968,BdBr,AlexLehrer,118758624
Enemy,968,TGnG,Baran taylan,118574601
Enemy,968,TGnG,Damaged Hornet,118555222
Enemy,968,BdBr,Lakiks,118274496
Enemy,968,GVo,Alexkid87,118071188
Enemy,968,BdBr,to stop,118055509
Enemy,968,TGnG,Roxasora,117952381
Enemy,968,BdBr,Turbo charged Ted,117840306
Enemy,968,FKX,Sanglier1695,117564824
Enemy,968,FKX,Boroda24,117535837
Enemy,968,BdBr,Maucer 47,117505122
Enemy,968,BdBr,A l d o,117494591
Enemy,968,IMRG,Benj,117374582
Enemy,968,TGnG,Toonarmy99,117185803
Enemy,968,IMRG,BIST,116821287
Enemy,968,TGnG,Flo1337,116761061
Enemy,968,BdBr,Bolo99,116687076
Enemy,968,FKX,Spy Ka,116610197
Enemy,968,TGnG,Yoss49,116386431
Enemy,968,FKX,Blacksparrow34,116145567
Enemy,968,FKX,mhunt 亗,116035837
Enemy,968,BdBr,serkannn74,115826467
Enemy,968,FKX,Magda18,115816909
Enemy,968,IMRG,Bulldawwg,115780352
Enemy,968,BdBr,Ali G,115622335
Enemy,968,TGnG,Genius Coyote,115618370
Enemy,968,TGnG,Niodir,115407896
Enemy,968,BdBr,raulbbit,114942309
Enemy,968,WOTH,max binford,114912253
Enemy,968,BdBr,Willy Wonka0,114894549
Enemy,968,IMRG,4olic,114763095
Enemy,968,BdBr,P I C K L E,114682780
Enemy,968,TGnG,Isadøra,114626724
Enemy,968,TGnG,M U N K K i,114604376
Enemy,968,BdBr,T Hagen,114539001
Enemy,968,IMRG,Nutz43v3r,114302897
Enemy,968,BdBr,Butttman,114302658
Enemy,968,FKX,Cédric688,114286313
Enemy,968,FKX,CalyCinci,114151376
Enemy,968,BdBr,NANO MALEFICO,113909246
Enemy,968,TGnG,Mir ist Igel,113823924
Enemy,968,BdBr,ÖmerF,113608344
Enemy,968,TGnG,Nemesis Angel,113529887
Enemy,968,BdBr,GHOST,113399709
Enemy,968,TGnG,Tao bye bye,113242639
Enemy,968,FKX,Mrs Midnight Storm,113047556
Enemy,968,UAII,Ukrainian sniper,112986091
Enemy,968,FKX,Bibras,112803416
Enemy,968,BdBr,sallys123,112740477
Enemy,968,GVo,AudreyOfficiel,112629169
Enemy,968,UAII,acidburn2000,112452408
Enemy,968,TGnG,tomraver,112337306
Enemy,968,TRPx,DEMİRPENÇE,112205922
Enemy,968,TGnG,MB123456,112164694
Enemy,968,BdBr,N O I S I A,112031164
Enemy,968,BdBr,Dracone the alone,111636331
Enemy,968,TGnG,colian,111336440
Enemy,968,TGnG,KC1314,111303005
Enemy,968,IMRG,Sub6694,111213620
Enemy,968,IMRG,JerseyCat,111035511
Enemy,968,FKX,MomoSpark,110887159
Enemy,968,IMRG,Neelix1287,110824473
Enemy,968,TRPx,GuavaJunker,110570329
Enemy,968,BdBr,rcpbgc,110468376
Enemy,968,BdBr,mam CK,110442286
Enemy,968,BdBr,07 Aziz 07,110275878
Enemy,968,WOTH,Lemmy 82,110185857
Enemy,968,TGnG,Gears of Laser,110154285
Enemy,968,IMRG,InvaderZim GIR,110095373
Enemy,968,FKX,razal1,110032922
Enemy,968,IMRG,GzzzzAzzz,109991514
Enemy,968,TRPx,Omar KM,109951303
